source_id,target_id,distance
0,1,43.959738
0,2,147.099275
0,3,200.723074
0,4,303.301008
0,5,364.246157
0,6,458.420613
0,7,506.410970
0,8,575.532576
0,9,659.972543
0,10,72.982203
0,11,129.974347
0,12,195.282070
0,13,216.670303
0,14,341.359856
0,15,387.266722
0,16,449.073315
0,17,545.623855
0,18,609.363612
0,19,677.658316
0,20,190.721688
0,21,184.664895
0,22,252.333536
0,23,289.036188
0,24,345.065267
0,25,433.704900
0,26,491.155371
0,27,560.642967
0,28,651.944112
0,29,715.939994
0,30,228.929778
0,31,263.039780
0,32,286.754095
0,33,364.429227
0,34,420.147344
0,35,446.507921
0,36,521.187306
0,37,615.983571
0,38,658.895743
0,39,719.218073
0,40,302.696465
0,41,354.417225
0,42,341.206165
0,43,409.391576
0,44,442.360924
0,45,537.179780
0,46,564.233178
0,47,625.036496
0,48,730.381987
0,49,781.569365
0,50,403.437903
0,51,402.664031
0,52,410.332043
0,53,451.401334
0,54,481.878866
0,55,557.650696
0,56,629.691665
0,57,673.232888
0,58,724.238644
0,59,800.186125
0,60,447.163701
0,61,460.996456
0,62,480.765911
0,63,513.292052
0,64,582.762320
0,65,626.791491
0,66,661.701420
0,67,731.813644
0,68,804.199958
0,69,823.197749
0,70,565.763546
0,71,566.674650
0,72,583.888801
0,73,584.833929
0,74,618.752849
0,75,696.182496
0,76,716.884058
0,77,756.593960
0,78,855.365182
0,79,888.139447
0,80,627.364054
0,81,619.103742
0,82,634.070310
0,83,681.372228
0,84,690.596505
0,85,734.006214
0,86,776.279304
0,87,828.644803
0,88,893.706174
0,89,966.745004
0,90,697.228424
0,91,722.651991
0,92,731.578999
0,93,731.784970
0,94,796.075710
0,95,825.791886
0,96,862.389916
0,97,904.958502
0,98,960.541720
0,99,1010.352100
1,2,103.211904
1,3,157.023353
1,4,259.364635
1,5,320.371445
1,6,414.472934
1,7,462.566746
1,8,531.615807
1,9,616.174022
1,10,84.836700
1,11,114.144021
1,12,156.426081
1,13,174.900900
1,14,298.531289
1,15,344.239284
1,16,405.667691
1,17,501.835824
1,18,565.409885
1,19,633.706060
1,20,187.452888
1,21,162.680005
1,22,221.006118
1,23,249.661065
1,24,306.109160
1,25,392.608433
1,26,448.228174
1,27,517.905567
1,28,608.473636
1,29,672.391973
1,30,229.778484
1,31,248.245084
1,32,262.223736
1,33,332.388996
1,34,383.867562
1,35,407.508591
1,36,479.786038
1,37,574.777113
1,38,616.315903
1,39,676.656151
1,40,295.388344
1,41,339.855486
1,42,318.520924
1,43,382.043485
1,44,410.308770
1,45,500.548679
1,46,525.109663
1,47,584.802905
1,48,689.747454
1,49,740.086406
1,50,398.869960
1,51,390.665071
1,52,389.009967
1,53,423.649086
1,54,451.873956
1,55,524.313619
1,56,593.223326
1,57,635.679913
1,58,685.250328
1,59,759.892670
1,60,440.793241
1,61,447.149578
1,62,462.857208
1,63,489.883922
1,64,556.192207
1,65,596.602234
1,66,628.461324
1,67,696.370265
1,68,766.201790
1,69,784.465688
1,70,558.346697
1,71,553.743692
1,72,566.504972
1,73,563.631740
1,74,592.415224
1,75,665.734025
1,76,684.112225
1,77,722.366666
1,78,818.766482
1,79,851.267331
1,80,620.562797
1,81,606.724636
1,82,618.542665
1,83,659.257718
1,84,665.138909
1,85,705.648201
1,86,745.638065
1,87,795.992454
1,88,859.494003
1,89,931.028765
1,90,689.069822
1,91,711.975513
1,92,716.861589
1,93,712.227635
1,94,773.067150
1,95,800.715635
1,96,834.528629
1,97,872.740082
1,98,927.188193
1,99,974.947025
2,3,59.066788
2,4,157.072427
2,5,218.537669
2,6,311.856384
2,7,360.734855
2,8,429.242206
2,9,514.488423
2,10,160.397207
2,11,132.563090
2,12,80.525698
2,13,81.249161
2,14,197.710392
2,15,242.687713
2,16,303.129849
2,17,398.660341
2,18,462.364406
2,19,530.644809
2,20,211.601480
2,21,147.133932
2,22,164.172671
2,23,161.673438
2,24,217.567085
2,25,296.154082
2,26,346.702855
2,27,416.716027
2,28,505.721885
2,29,569.503295
2,30,256.248252
2,31,236.001449
2,32,221.783127
2,33,264.576517
2,34,301.669077
2,35,316.932504
2,36,382.003835
2,37,477.164396
2,38,515.363246
2,39,575.685542
2,40,296.713360
2,41,319.968844
2,42,278.557432
2,43,325.677235
2,44,339.702161
2,45,415.496103
2,46,433.108434
2,47,489.605742
2,48,593.240706
2,49,641.477644
2,50,400.076628
2,51,374.320712
2,52,348.788180
2,53,364.670608
2,54,385.908900
2,55,447.901900
2,56,507.746644
2,57,547.107667
2,58,592.812700
2,59,664.053300
2,60,435.920464
2,61,423.772188
2,62,428.659390
2,63,440.642831
2,64,497.228898
2,65,527.562091
2,66,551.114617
2,67,612.840574
2,68,675.937757
2,69,692.343582
2,70,547.336346
2,71,529.446152
2,72,530.850621
2,73,518.381117
2,74,533.448121
2,75,595.238540
2,76,607.492951
2,77,641.766953
2,78,731.769965
2,79,763.489109
2,80,609.663293
2,81,582.617017
2,82,586.462825
2,83,610.058597
2,84,607.403151
2,85,640.093441
2,86,673.954141
2,87,718.916395
2,88,778.225457
2,89,845.818312
2,90,673.707631
2,91,690.203423
2,92,685.197867
2,93,668.701554
2,94,720.277031
2,95,742.529555
2,96,769.156381
2,97,796.336775
2,98,847.755034
2,99,890.361188
3,4,103.863848
3,5,163.843206
3,6,258.670912
3,7,305.808192
3,8,375.253538
3,9,459.275464
3,10,219.431404
3,11,187.497039
3,12,103.329320
3,13,80.344636
3,14,162.018582
3,15,203.259553
3,16,259.148479
3,17,350.048455
3,18,410.515834
3,19,478.784124
3,20,263.599313
3,21,191.450717
3,22,184.819655
3,23,152.469369
3,24,202.700688
3,25,266.296755
3,26,305.552757
3,27,375.760300
3,28,459.487296
3,29,522.442092
3,30,307.386051
3,31,274.890955
3,32,247.556149
3,33,268.371658
3,34,290.166740
3,35,295.108876
3,36,348.244348
3,37,442.635757
3,38,474.315113
3,39,534.312321
3,40,338.534859
3,41,351.814773
3,42,301.295005
3,43,335.654150
3,44,337.952915
3,45,397.933850
3,46,407.103750
3,47,458.626178
3,48,559.582729
3,49,604.293932
3,50,439.287020
3,51,406.291051
3,52,368.609176
3,53,371.435435
3,54,386.676985
3,55,438.329141
3,56,488.344329
3,57,523.888659
3,58,564.635558
3,59,630.971114
3,60,471.879533
3,61,451.075698
3,62,449.925822
3,63,452.331035
3,64,501.057661
3,65,523.113171
3,66,539.177242
3,67,594.368520
3,68,649.810488
3,69,663.934702
3,70,578.832528
3,71,554.444204
3,72,549.452133
3,73,531.271668
3,74,536.716040
3,75,588.756158
3,76,595.608550
3,77,625.904343
3,78,708.911268
3,79,739.633722
3,80,640.524587
3,81,607.033765
3,82,606.407970
